n,archivo,prueba,origen,criterio,comprueba,por_que
1,test_data.py,test_valid_contract,Proyecto base,"Datos, licencia y auditoría",Un conjunto con las columnas y rangos esperados pasa la validación.,Asegura que la validación no bloquea datos correctos.
2,test_data.py,test_rejects_orphan_rating,Proyecto base,"Datos, licencia y auditoría",Falla si hay una valoración de una película que no existe en movies.csv.,Una valoración huérfana no tiene géneros ni título y rompería el modelo de contenido.
3,test_content.py,test_content_excludes_query_and_returns_unique_items,Proyecto base,"Popularidad, contenido y factorización",El recomendador por contenido no devuelve la propia película consultada ni repite películas.,Recomendar lo que el usuario acaba de ver o repetir ítems infla la lista sin aportar nada.
4,test_content.py,test_popularity_contains_weighted_score,Proyecto base,"Popularidad, contenido y factorización",La popularidad calcula una puntuación ponderada por cantidad de valoraciones.,Evita que una película con una sola valoración de 5 estrellas encabece la lista.
5,test_matrix_factorization.py,test_temporal_split_keeps_last_event,Proyecto base,Corte temporal,En la partición del proyecto base la prueba contiene el evento más reciente de cada usuario.,Evaluar con el futuro y entrenar con el pasado evita usar información que no existiría en el momento de recomendar.
6,test_matrix_factorization.py,test_matrix_factorization_predicts_finite_value,Proyecto base,"Popularidad, contenido y factorización",La factorización entrena y predice un número finito.,Detecta divergencias del SGD (valores infinitos o NaN).
7,test_metrics.py,test_ranking_metrics,Proyecto base,"Ranking, cobertura y usuarios fríos",Hit rate y cobertura coinciden con un cálculo manual.,Las métricas de ranking son la base de la decisión.
8,test_evaluation.py,test_temporal_split_keeps_past_in_train_and_future_in_test,Nueva,Corte temporal,"Para cada usuario, todo el entrenamiento es anterior a la validación y esta anterior a la prueba; no se pierden ni se repiten valoraciones.","El corte 70/10/20 por usuario es la base de toda la evaluación; si mezclara pasado y futuro, las métricas serían optimistas."
9,test_evaluation.py,test_cold_users_are_reproducible_and_disjoint_from_training,Nueva,"Ranking, cobertura y usuarios fríos",Los usuarios fríos son siempre los mismos con semilla 42 y ninguno aparece en el entrenamiento.,Si un usuario frío tuviera historial en entrenamiento no sería frío y la evaluación del fallback no valdría.
10,test_evaluation.py,test_ranking_metrics_match_hand_calculation,Nueva,"Ranking, cobertura y usuarios fríos","Precision@k, recall@k, NDCG@k y acierto coinciden con un ejemplo calculado a mano.",NDCG premia que el acierto esté arriba en la lista; la prueba confirma la fórmula antes de usarla para decidir.
11,test_evaluation.py,test_novelty_is_higher_for_less_popular_items,Nueva,"Ranking, cobertura y usuarios fríos",Recomendar una película poco valorada da más novedad que una muy popular.,La novedad se usa para mostrar el sesgo de popularidad; debe crecer en la dirección correcta.
12,test_evaluation.py,test_recommendations_exclude_seen_items_and_cold_user_gets_popularity,Nueva,"Híbrido y usuarios fríos","Ningún método recomienda películas ya vistas, aunque se pidan más de las disponibles, y un usuario desconocido recibe la lista de popularidad.","Esta prueba encontró un error real: con pocas películas sin ver, la lista se rellenaba con películas ya vistas. Se corrigió el código."
13,test_evaluation.py,test_pareto_front_and_decision_rule,Nueva,Híbrido y decisión Pareto,"La frontera de Pareto excluye un modelo dominado en NDCG y cobertura, y la regla elige el de mayor cobertura con NDCG ≥ 95 % del máximo.",La decisión final se toma con esta regla en validación antes de ver la prueba; la prueba evita cambiarla después.
