n,archivo,prueba,origen,criterio,comprueba,por_que
1,test_data_contract.py,test_accepts_valid_dataframe,Proyecto base,Auditoría,Un DataFrame con texto y etiqueta válidos pasa la validación sin error.,Asegura que la validación no rechaza datos correctos; si lo hiciera bloquearía todo el flujo.
2,test_data_contract.py,test_rejects_missing_target,Proyecto base,Auditoría,Falla con un mensaje claro si falta la columna objetivo.,Sin la etiqueta no se puede entrenar; es mejor detenerse que entrenar con una columna equivocada.
3,test_data_contract.py,test_rejects_empty_text,Proyecto base,Auditoría,Falla si hay textos vacíos.,Un texto vacío no aporta información y distorsiona TF-IDF y las métricas.
4,test_text_model.py,test_each_pipeline_predicts_one_label,Proyecto base,Baseline y pipelines,"Los tres pipelines (línea base, Naive Bayes y logística) entrenan y devuelven una predicción, y todos tienen los pasos tfidf y model.",Confirma que los tres modelos comparados tienen la misma estructura; así la comparación es justa.
5,test_embeddings_network.py,test_tokenize_normalizes_and_removes_one_character_tokens,Proyecto base,Reproducibilidad,La tokenización pasa a minúsculas y elimina tokens de una letra.,Documenta cómo se normaliza el texto; si cambiara sin aviso cambiarían los resultados.
6,test_embeddings_network.py,test_demo_network_has_valid_pagerank,Proyecto base,Reproducibilidad,El PageRank de la red de demostración suma 1 y cada valor está entre 0 y 1.,Comprueba que el entorno de LAB06 funciona; no forma parte de la evaluación de este ejercicio.
7,test_leakage.py,test_deduplicate_removes_normalized_copies_before_split,Nueva,Duplicados y fuga,"""Call 0800 NOW"" y ""call  0999 now"" se reconocen como el mismo mensaje y se conserva solo el primero.","El corpus tiene 403 duplicados exactos y 31 más que solo difieren en mayúsculas, números o espacios; si no se eliminan, la misma plantilla de spam puede quedar en entrenamiento y en prueba."
8,test_leakage.py,test_deduplicate_rejects_contradictory_labels,Nueva,Duplicados y fuga,Si un mismo texto aparece como ham y como spam el proceso se detiene.,"Una etiqueta contradictoria indica un error de datos; eliminarla en silencio ocultaría el problema. En este corpus hay 0 casos, y la prueba garantiza que se detectarían."
9,test_leakage.py,test_splits_are_disjoint_complete_and_stratified,Nueva,Prevención de fuga,"Entrenamiento, validación y prueba no comparten filas, entre las tres cubren todo el corpus y cada una mantiene la proporción de spam.",Si una fila estuviera en dos particiones la evaluación sería optimista; si se perdieran filas o cambiara la proporción la comparación dejaría de ser válida.
10,test_leakage.py,test_leakage_check_detects_normalized_duplicate_across_splits,Nueva,Prevención de fuga,El control de fuga detecta dos mensajes que solo difieren en números y mayúsculas aunque estén en particiones distintas.,Demuestra que la verificación que se ejecuta en cada corrida sí encuentra la fuga que se quiere evitar.
11,test_leakage.py,test_vectorizer_learns_vocabulary_only_from_training_texts,Nueva,Prevención de fuga,Una palabra que solo aparece en el texto de prueba no entra al vocabulario TF-IDF.,"Si TF-IDF se ajustara con todos los datos, el modelo conocería palabras e IDF de la prueba antes de evaluarse; el pipeline lo evita y la prueba lo demuestra."
12,test_leakage.py,test_choose_ignores_baseline_and_breaks_ties_by_spam_recall,Nueva,Evaluación,"La regla de selección nunca elige la línea base y, si hay empate en F1 macro, prefiere el modelo con mayor recall de spam.",La decisión se toma en validación antes de ver la prueba; la prueba fija esa regla para que no se pueda ajustar después según el resultado.
13,test_leakage.py,test_every_analyzed_error_has_category_and_explanation,Nueva,Análisis de 20 errores,"Hay al menos 20 errores clasificados, sin ids repetidos y todos con categoría y explicación.",La rúbrica exige analizar 20 errores; la prueba evita entregar errores sin interpretar.
