id,particion,modelo,real,predicho,prob_spam,text,categoria,explicacion
3890,test,naive_bayes,ham,spam,0.839,Unlimited texts. Limited minutes.,Vocabulario comercial en mensaje legítimo,"""Unlimited texts"" y ""minutes"" son términos de ofertas de telefonía; aquí describen un plan en una conversación normal."
1430,test,naive_bayes,spam,ham,0.071,For sale - arsenal dartboard. Good condition but no doubles or trebles!,Etiqueta dudosa de la fuente,Parece un anuncio personal de venta y no un SMS masivo; probablemente es texto copiado de un comentario del foro Grumbletext.
3603,test,naive_bayes,ham,spam,0.554,Cps is causing the outages to conserve energy.,Texto corto con palabras poco frecuentes,"""Cps"", ""outages"" y ""energy"" casi no aparecen en entrenamiento; con tan pocas palabras conocidas la probabilidad queda cerca de 0.5."
495,test,naive_bayes,ham,spam,0.656,Are you free now?can i call now?,Vocabulario comercial en mensaje legítimo,"""free"" y ""call now"" son frecuentes en spam; aquí forman una pregunta personal. El modelo no distingue el contexto."
991,test,naive_bayes,ham,spam,0.934,26th OF JULY,Texto corto con palabras poco frecuentes,Solo contiene una fecha en mayúsculas; los números ordinales y las mayúsculas se asocian a promociones con fecha límite.
2823,test,naive_bayes,spam,ham,0.029,ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.,Etiqueta dudosa de la fuente,"Es un horóscopo (""ROMCAPspam"" parece un código de suscripción pegado). Sin premio, número ni llamada a la acción, el texto no tiene señales de spam."
4914,test,naive_bayes,spam,ham,0.327,"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins.",Spam sin señales típicas,"Es un servicio de suscripción a resultados de fútbol; el contenido es informativo y no incluye premio, precio ni número."
4069,test,naive_bayes,spam,ham,0.048,TBS/PERSOLVO. been chasing us since Sept for£38 definitely not paying now thanks to your information. We will ignore them. Kath. Manchester.,Etiqueta dudosa de la fuente,Es el comentario de una persona sobre una empresa de cobros; corresponde al foro de origen y no a un SMS enviado por un spammer.
5372,valid,naive_bayes,spam,ham,0.031,dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?,Etiqueta dudosa de la fuente,Es una pregunta de un usuario del foro sobre por qué recibió spam de citas; el texto en sí no es spam.
4862,valid,naive_bayes,ham,spam,0.982,Nokia phone is lovly..,Vocabulario comercial en mensaje legítimo,"""Nokia"" y ""phone"" aparecen muchísimo en spam de teléfonos gratis; aquí es una opinión personal."
1458,valid,naive_bayes,spam,ham,0.166,CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx Calls£1/minmoremobsEMSPOBox45PO139WA,Spam con tono personal,"Tiene número de tarificación especial (090…) y precio por minuto, pero el tono coloquial y el nombre propio pesan más que esas señales; cada número es único y el modelo no generaliza el patrón."
2770,valid,naive_bayes,spam,ham,0.407,Burger King - Wanna play footy at a top stadium? Get 2 Burger King before 1st Sept and go Large or Super with Coca-Cola and walk out a winner,Spam sin señales típicas,"Promoción de marca sin número ni código corto; las palabras ""play"", ""footy"" y ""stadium"" también son comunes en conversaciones."
4732,valid,naive_bayes,ham,spam,0.837,K:)eng rocking in ashes:),Texto corto con palabras poco frecuentes,Abreviaturas y emoticonos sin palabras de contenido conocidas; la decisión depende de muy pocos tokens.
4600,valid,naive_bayes,ham,spam,0.639,Have you laid your airtel line to rest?,Vocabulario comercial en mensaje legítimo,"""airtel"" y ""line"" son vocabulario de operadoras; en entrenamiento aparecen sobre todo en spam."
1269,valid,naive_bayes,spam,ham,0.07,Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx Calls£1/minmoremobsEMSPOBox45PO139WA,Spam con tono personal,"Mismo patrón que el id 1458 (número 090…, ""Calls£1/min""); el modelo no aprendió que los números premium son una señal fuerte porque cada número es un token distinto."
2965,valid,naive_bayes,spam,ham,0.006,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",Etiqueta dudosa de la fuente,Es un chiste reenviado; no vende nada ni pide acción. Su etiqueta de spam es discutible.
2614,valid,naive_bayes,ham,spam,0.654,Thanks for sending this mental ability question..,Vocabulario comercial en mensaje legítimo,"""sending"" y ""question"" aparecen en concursos por SMS; aquí es un agradecimiento."
5451,valid,naive_bayes,spam,ham,0.254,"Latest News! Police station toilet stolen, cops have nothing to go on!",Etiqueta dudosa de la fuente,"Chiste tipo ""Latest News!"" de un servicio de contenidos; sin precio ni número visible, es difícil de separar de un reenvío personal."
3742,valid,naive_bayes,spam,ham,0.5,2/2 146tf150p,Fragmento de mensaje dividido,"Es la segunda parte (""2/2"") de un SMS largo y solo trae un código de tarifa; sin la primera parte no hay contexto."
1638,valid,naive_bayes,spam,ham,0.072,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.",Etiqueta dudosa de la fuente,Es un comentario del foro sobre la responsabilidad de las operadoras; no es un SMS de spam.
2289,valid,naive_bayes,ham,spam,0.939,Dont you have message offer,Vocabulario comercial en mensaje legítimo,"""message offer"" coincide literalmente con frases de promociones."
1506,valid,naive_bayes,ham,spam,0.6,Total video converter free download type this in google search:),Vocabulario comercial en mensaje legítimo,"""free download"" es típico de spam; aquí es una recomendación entre amigos."
4989,valid,naive_bayes,ham,spam,0.751,Which channel:-):-):):-).,Texto corto con palabras poco frecuentes,"Casi todo son emoticonos; ""channel"" aparece en spam de televisión y decide la predicción."
